00040365-r	diplomacy book_keeping factotum electrotechnology person telephony mechanics betting social card music baseball post drawing telegraphy time_period chemistry bowling anthropology military grammar radio exchange railway architecture physics insurance nautical engineering publishing psychological_features mythology athletics hockey law tourism ethnology philology religion industry art medicine graphic_arts transport chess cinema paranormal history telecommunication radiology sculpture buildings plastic_arts rugby sociology philosophy racing school money psychoanalysis finance university play genetics football theatre mathematics animal_husbandry pure_science economy tax archaeology volleyball electronics sport table_tennis health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy heraldry politics basketball banking environment humanities tennis linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity surgery folklore vehicles optics quality soccer free_time painting physiology acoustics applied_science roman_catholic artisanship
04928903-n	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
06891493-n	literature racing free_time humanities tv pure_science cinema sport music play art basketball dance telecommunication sociology tourism theatre
10648696-n	cinema art telecommunication theatre enterprise
03338821-n	ethnology tv cinema telecommunication radiology mechanics graphic_arts commerce theatre photography optics
01003249-v	tv cinema telecommunication radiology graphic_arts photography optics
06614729-n	literature racing religion cinema telecommunication sociology theatre photography
06157326-n	humanities tv cinema music university art dance telecommunication theatre
02758134-n	buildings cinema theatre town_planning
04296562-n	buildings literature furniture painting tv town_planning cinema music architecture art dance telecommunication diving theatre
02928926-a	literature town_planning plants cinema industry history biology food politics
10088390-n	literature tv cinema hockey aviation art telecommunication person folklore graphic_arts theatre photography
03854506-n	electronics tv cinema electricity electrotechnology optics
03925226-n	buildings literature plastic_arts astronomy electrotechnology telephony mechanics physics engineering publishing post commerce theatre photography drawing enterprise telegraphy tv computer_science art electricity graphic_arts optics quality electronics painting philately cinema jewellery telecommunication radiology radio sculpture applied_science
02327200-v	buildings book_keeping factotum architecture electrotechnology mechanics betting banking skiing nautical engineering publishing social home card finance commerce theatre enterprise telegraphy furniture animal_husbandry tv computer_science industry economy electricity fashion surgery vehicles graphic_arts transport electronics cinema hydraulics military exchange railway applied_science artisanship
09967967-n	telecommunication cinema theatre
00024073-r	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
02630189-v	buildings literature free_time tv cinema music agriculture art dance telecommunication golf earth tourism commerce theatre nautical
04152829-n	cinema telecommunication theatre photography optics
03113657-n	tv cinema art dance fashion theatre
04417809-n	buildings furniture town_planning tv swimming cinema industry architecture art telecommunication transport commerce theatre
02137132-v	book_keeping factotum electrotechnology person mechanics betting social card astrology drawing time_period archery chemistry sexuality military grammar oceanography radio exchange color architecture physics metrology skiing engineering publishing psychological_features geometry law topography tourism ethnology philology religion industry art medicine graphic_arts transport swimming cinema paranormal jewellery telecommunication radiology statistics sculpture fencing sociology philosophy school psychoanalysis finance play theatre mathematics biochemistry animal_husbandry pure_science economy tax electronics sport health earth occultism literature pedagogy astronomy psychiatry meteorology geology humanities social_science number photography theology dentistry psychology tv computer_science aviation electricity body_care fashion folklore optics paleontology quality free_time physiology painting artisanship
00047945-v	tv cinema military fashion theatre
01860107-v	cinema photography
03931044-n	factotum electrotechnology person telephony mechanics betting card music astrology baseball post drawing telegraphy furniture dance chemistry philately oceanography radio railway color architecture numismatics physics metrology insurance engineering publishing mythology geometry law topography tourism philology religion industry art medicine graphic_arts transport cinema paranormal hydraulics jewellery telecommunication radiology statistics sculpture buildings plastic_arts philosophy psychoanalysis play genetics diving theatre mathematics pure_science archaeology electronics health earth occultism sub literature astronautics pedagogy astronomy meteorology heraldry anatomy skating home humanities number linguistics commerce photography dentistry enterprise psychology tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics quality free_time physiology painting acoustics applied_science artisanship
07006119-n	literature tv cinema art telecommunication theatre
00356926-a	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
08221897-n	buildings literature pedagogy tv tennis cinema art telecommunication telephony theatre
03759432-n	cinema photography
08860123-n	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
00106921-r	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
09767700-n	literature tv cinema music art dance telecommunication heraldry theatre photography
03795976-n	cinema photography optics tv
06619065-n	racing free_time tv cinema art dance telecommunication sociology theatre
10163723-n	cinema art theatre
00120316-v	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
00903559-n	tv cinema radiology tax applied_science graphic_arts drawing photography optics
02150948-v	buildings tv cinema astronomy sport computer_science jewellery telecommunication radiology physics sculpture tourism theatre photography optics
02138075-v	cinema photography optics
02148788-v	free_time pedagogy tv cinema telecommunication theatre
02680814-v	telegraphy psychology diplomacy soccer school time_period psychoanalysis factotum cinema computer_science aviation play electrotechnology telecommunication acoustics mechanics hunting
01621555-v	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
01710481-v	humanities cinema music art dance theatre
11333390-n	telecommunication cinema theatre
01638438-a	buildings pedagogy administration astronomy architecture heraldry politics engineering geology plants biology animals number entomology time_period geography town_planning art food fashion vehicles archaeology quality cinema history hunting
04009552-n	cinema mechanics photography optics
01859221-v	racing rugby soccer cinema sport aviation baseball mechanics football cricket railway transport basketball surgery
